Key,Frequency,Percentage
AssetImpairmentCharges,322,64.14%
PreferredStockSharesIssued,321,63.94%
OtherAssetsCurrent,321,63.94%
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,321,63.94%
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,318,63.35%
IncreaseDecreaseInInventories,317,63.15%
DeferredTaxAssetsNetCurrent,317,63.15%
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,317,63.15%
RestructuringCharges,316,62.95%
EmployeeRelatedLiabilitiesCurrent,316,62.95%
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,316,62.95%
ProceedsFromStockOptionsExercised,316,62.95%
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,316,62.95%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,312,62.15%
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,312,62.15%
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,312,62.15%
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,310,61.75%
IncomeLossFromEquityMethodInvestments,308,61.35%
TreasuryStockValueAcquiredCostMethod,307,61.16%
PreferredStockValue,307,61.16%
EffectiveIncomeTaxRateReconciliationOtherAdjustments,307,61.16%
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,306,60.96%
LineOfCreditFacilityMaximumBorrowingCapacity,304,60.56%
GainsLossesOnExtinguishmentOfDebt,304,60.56%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,303,60.36%
InterestPaid,300,59.76%
TreasuryStockShares,299,59.56%
NetIncomeLossAvailableToCommonStockholdersBasic,299,59.56%
UndistributedEarningsOfForeignSubsidiaries,294,58.57%
AdditionalPaidInCapitalCommonStock,294,58.57%
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,293,58.37%
OtherNoncashIncomeExpense,292,58.17%
SellingGeneralAndAdministrativeExpense,292,58.17%
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,291,57.97%
FutureAmortizationExpenseYearTwo,289,57.57%
FutureAmortizationExpenseYearThree,288,57.37%
FutureAmortizationExpenseYearOne,288,57.37%
PaymentsOfDividendsCommonStock,285,56.77%
FutureAmortizationExpenseYearFour,285,56.77%
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,284,56.57%
IncreaseDecreaseInAccountsReceivable,282,56.18%
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,282,56.18%
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,281,55.98%
TreasuryStockCommonShares,279,55.58%
PreferredStockSharesOutstanding,279,55.58%
FutureAmortizationExpenseYearFive,279,55.58%
DeferredIncomeTaxAssetsNet,278,55.38%
StockRepurchaseProgramAuthorizedAmount1,278,55.38%
VariableLeaseCost,276,54.98%
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,275,54.78%
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,275,54.78%
AccruedIncomeTaxesCurrent,275,54.78%
ProceedsFromIssuanceOfCommonStock,275,54.78%
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,274,54.58%
IncomeTaxesPaid,273,54.38%
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,270,53.78%
IncomeLossFromContinuingOperationsPerDilutedShare,267,53.19%
AdditionalPaidInCapital,267,53.19%
IncomeLossFromContinuingOperationsPerBasicShare,267,53.19%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,266,52.99%
TreasuryStockSharesAcquired,266,52.99%
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,265,52.79%
ValuationAllowanceDeferredTaxAssetChangeInAmount,263,52.39%
DividendsCommonStockCash,262,52.19%
StockIssuedDuringPeriodValueShareBasedCompensation,261,51.99%
RestructuringReserve,261,51.99%
CostOfGoodsAndServicesSold,260,51.79%
GrossProfit,260,51.79%
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,260,51.79%
DebtInstrumentCarryingAmount,258,51.39%
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,258,51.39%
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,257,51.20%
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,257,51.20%
NumberOfOperatingSegments,256,51.00%
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,256,51.00%
StockRepurchasedDuringPeriodValue,254,50.60%
FinanceLeaseLiability,254,50.60%
CommonStockDividendsPerShareCashPaid,252,50.20%
EquityMethodInvestments,252,50.20%
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,252,50.20%
DeferredTaxAssetsNetNoncurrent,249,49.60%
ProceedsFromSaleOfPropertyPlantAndEquipment,249,49.60%
ProceedsFromDivestitureOfBusinesses,248,49.40%
IncomeLossFromContinuingOperations,247,49.20%
InvestmentIncomeInterest,247,49.20%
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,247,49.20%
GoodwillForeignCurrencyTranslationGainLoss,245,48.80%
StockIssuedDuringPeriodValueNewIssues,242,48.21%
OtherLiabilitiesCurrent,240,47.81%
IncomeTaxReconciliationStateAndLocalIncomeTaxes,240,47.81%
ContractWithCustomerLiabilityRevenueRecognized,239,47.61%
AccruedLiabilitiesCurrent,239,47.61%
ShortTermBorrowings,238,47.41%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,237,47.21%
IncreaseDecreaseInAccountsPayable,237,47.21%
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,237,47.21%
ProvisionForDoubtfulAccounts,236,47.01%
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,236,47.01%
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,235,46.81%
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,234,46.61%
IncreaseDecreaseInOtherOperatingCapitalNet,234,46.61%
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,234,46.61%
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,234,46.61%
IncreaseDecreaseInOtherOperatingAssets,234,46.61%
IncomeTaxReconciliationOtherAdjustments,233,46.41%
ContractWithCustomerLiabilityCurrent,233,46.41%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,232,46.22%
SalesRevenueNet,232,46.22%
IncomeLossFromDiscontinuedOperationsNetOfTax,230,45.82%
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,230,45.82%
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,230,45.82%
FinanceLeaseLiabilityPaymentsDue,230,45.82%
FinanceLeaseWeightedAverageDiscountRatePercent,230,45.82%
FinanceLeaseLiabilityPaymentsDueYearTwo,229,45.62%
PaymentsOfDividends,229,45.62%
DepreciationAndAmortization,229,45.62%
FinanceLeaseLiabilityPaymentsDueYearThree,229,45.62%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,228,45.42%
OtherAccruedLiabilitiesCurrent,228,45.42%
FinanceLeaseLiabilityPaymentsDueYearFour,228,45.42%
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,227,45.22%
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,227,45.22%
FinanceLeaseLiabilityUndiscountedExcessAmount,227,45.22%
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,227,45.22%
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,226,45.02%
DebtInstrumentFaceAmount,226,45.02%
FinanceLeaseLiabilityPaymentsDueYearFive,226,45.02%
OperatingLeasesRentExpenseNet,226,45.02%
ContractWithCustomerLiability,225,44.82%
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,225,44.82%
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,224,44.62%
WeightedAverageNumberDilutedSharesOutstandingAdjustment,224,44.62%
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,224,44.62%
StockRepurchasedDuringPeriodShares,224,44.62%
DerivativeFairValueOfDerivativeLiability,223,44.42%
ResearchAndDevelopmentExpense,223,44.42%
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,222,44.22%
AvailableForSaleSecuritiesDebtSecurities,222,44.22%
FinanceLeaseLiabilityPaymentsDueAfterYearFive,222,44.22%
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,220,43.82%
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,220,43.82%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,220,43.82%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,220,43.82%
MinorityInterestDecreaseFromRedemptions,219,43.63%
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,218,43.43%
DerivativeFairValueOfDerivativeAsset,216,43.03%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,216,43.03%
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,216,43.03%
PrepaidExpenseAndOtherAssetsCurrent,215,42.83%
FinanceLeasePrincipalPayments,214,42.63%
FinanceLeaseRightOfUseAsset,214,42.63%
DefinedBenefitPlanFairValueOfPlanAssets,213,42.43%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,212,42.23%
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,212,42.23%
DeferredTaxLiabilitiesUndistributedForeignEarnings,211,42.03%
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsOutstandingWeightedAverageRemainingContractualTerm1,211,42.03%
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,210,41.83%
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,210,41.83%
PaymentsForRestructuring,209,41.63%
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,209,41.63%
NetIncomeLossAvailableToCommonStockholdersDiluted,209,41.63%
GoodwillPurchaseAccountingAdjustments,208,41.43%
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,208,41.43%
StockIssuedDuringPeriodValueAcquisitions,208,41.43%
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,207,41.24%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,207,41.24%
PaymentsOfDebtIssuanceCosts,207,41.24%
NonoperatingIncomeExpense,207,41.24%
DerivativeAssets,207,41.24%
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,206,41.04%
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,206,41.04%
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,205,40.84%
GainLossOnSaleOfBusiness,205,40.84%
BusinessAcquisitionsProFormaRevenue,205,40.84%
BusinessCombinationAcquisitionRelatedCosts,204,40.64%
IndefiniteLivedIntangibleAssetsExcludingGoodwill,204,40.64%
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,203,40.44%
FinanceLeaseLiabilityNoncurrent,203,40.44%
FinanceLeaseLiabilityCurrent,202,40.24%
AvailableForSaleSecurities,201,40.04%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,201,40.04%
ForeignCurrencyTransactionGainLossBeforeTax,201,40.04%
StockholdersEquityOther,201,40.04%
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,200,39.84%
DerivativeLiabilities,200,39.84%
CostsAndExpenses,199,39.64%
IncomeTaxReconciliationChangeInEnactedTaxRate,199,39.64%
FinanceLeaseRightOfUseAssetAmortization,199,39.64%
DefinedBenefitPlanContributionsByEmployer,198,39.44%
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,198,39.44%
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,197,39.24%
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,197,39.24%
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,197,39.24%
ShortTermLeaseCost,197,39.24%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,197,39.24%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,197,39.24%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,196,39.04%
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,195,38.84%
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,195,38.84%
ProceedsFromRepaymentsOfShortTermDebt,194,38.65%
LettersOfCreditOutstandingAmount,193,38.45%
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,193,38.45%
DeferredTaxLiabilitiesCurrent,193,38.45%
Land,193,38.45%
OtherComprehensiveIncomeLossTax,193,38.45%
DeferredTaxAssetsTaxCreditCarryforwards,193,38.45%
LongTermDebtAndCapitalLeaseObligations,193,38.45%
AllowanceForDoubtfulAccountsReceivable,193,38.45%
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,193,38.45%
AdvertisingExpense,192,38.25%
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,192,38.25%
DeferredTaxLiabilitiesLeasingArrangements,191,38.05%
IncreaseDecreaseInAccruedIncomeTaxesPayable,191,38.05%
GainLossOnSaleOfPropertyPlantEquipment,190,37.85%
TaxAdjustmentsSettlementsAndUnusualProvisions,190,37.85%
CapitalExpendituresIncurredButNotYetPaid,190,37.85%
OperatingLossCarryforwards,190,37.85%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,189,37.65%
RevenueRemainingPerformanceObligation,189,37.65%
FinanceLeaseInterestExpense,189,37.65%
GoodwillImpairedAccumulatedImpairmentLoss,189,37.65%
LongTermDebtFairValue,189,37.65%
PaymentsToMinorityShareholders,188,37.45%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriod,187,37.25%
FiniteLivedIntangibleAssetsAmortizationExpense,187,37.25%
LineOfCreditFacilityAmountOutstanding,186,37.05%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,186,37.05%
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,186,37.05%
TreasuryStockCommonValue,185,36.85%
BuildingsAndImprovementsGross,184,36.65%
ConstructionInProgressGross,184,36.65%
DeferredRevenueCurrent,183,36.45%
PaymentsToAcquireInvestments,182,36.25%
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,181,36.06%
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,180,35.86%
IncreaseDecreaseInOtherOperatingLiabilities,180,35.86%
FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear,179,35.66%
CapitalLeasesFutureMinimumPaymentsDueCurrent,179,35.66%
DebtCurrent,179,35.66%
AvailableForSaleDebtSecuritiesAmortizedCostBasis,178,35.46%
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,178,35.46%
BusinessAcquisitionsProFormaNetIncomeLoss,177,35.26%
ShortTermInvestments,177,35.26%
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition,177,35.26%
OperatingExpenses,177,35.26%
IntangibleAssetsGrossExcludingGoodwill,176,35.06%
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,176,35.06%
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,175,34.86%
AvailableForSaleSecuritiesAmortizedCost,175,34.86%
StockIssuedDuringPeriodValueStockOptionsExercised,175,34.86%
PaymentsToAcquireBusinessesGross,174,34.66%
GoodwillTranslationAdjustments,174,34.66%
DebtInstrumentInterestRateStatedPercentage,174,34.66%
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,174,34.66%
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,174,34.66%
RestrictedCashAndCashEquivalents,173,34.46%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,173,34.46%
PaymentsToAcquireProductiveAssets,173,34.46%
CapitalLeasesFutureMinimumPaymentsDueInFourYears,173,34.46%
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,172,34.26%
TaxesPayableCurrent,171,34.06%
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,171,34.06%
LineOfCredit,170,33.86%
StockRepurchaseProgramAuthorizedAmount,170,33.86%
